Block Lot	Planning Neighborhood	Best Stat	Best Date	Units	Planning Project Description	DBI Project Description	Zoning_Generalized	Zoning_Simplified	TAZ	Total GSF (Commercial)	Office	Cult, Inst, Educ	Medical	Prod, Dist, Rep	Ret, Ent	Visitor	Planning ID	DBI Permit	Planning Filed	DBI Filed	HEIGHTLIMIT	ZONING	FirstFiled	LANDUSE	EntitlementStatus	Net Added Units	Net Added SF	Net Cult, Inst, Educ	Net Medical	Net Office	Net Prod, Dist, Rep	Net Ret, Ent	Net Visitor	Location 1
0524031	Northeast	PL Approved	08-Apr-10	8	Renovation and remodel of exisitng cottages and construct a new 3-story addition at the rear of the lot.		Residential	RH-2	818	0							2009.0412		15-Sep-09		40-X	RH-2	15-Sep-09	Resident	-1	4	0							"1338 Filbert St
(37.799951, -122.421565)"
0829007	Western Addition	BP Filed	25-Jun-09	1	Lot split	TO ERECT 2 STORY SINGLE FAMILY DWELLING	Residential	RH-3	255	0							2008.028	200906251343	04-Mar-08	25-Jun-09	40-X	RH-3	04-Mar-08	Resident	0	1	0							"506 Oak St
(37.774495999999999, -122.427818)"
4004024	Showpl/Potrero	BP APPROVED	11-Aug-10	3	New construction of a 4-story, 3-unit residential building as a demolition replacement for the existing single-family home (2009.0583D).	TO ERECT 3 STORY, 3 FAMILY DWELLING OVER BASEMENT GARAGE	Residential	RH-3	214	0							2009.1165	200905208827	23-Dec-09	20-May-09	40-X	RH-3	20-May-09	Resident	-1	2	0							"251 Arkansas St
(37.763095, -122.398348)"
6771032	Ingleside, Other	BP APPROVED	18-May-10	2	Demoiltion of existing single-family residence.	TO ERECT 4 STORY, 2 DWELLING UNITS	Residential	RH-2	71	0							2008.0374	200906261414	25-Mar-08	26-Jun-09	40-X	RH-2	25-Mar-08	Resident	-1	1	0							"279 Monterey Bl
(37.731461000000003, -122.441411)"
7108033	Ingleside, Other	BP Filed	31-Jul-12	2	To add a second dwelling-unit within an RH-1 District, per Planning Code Section 209.1(f.) The lot measures 6,250 square feet.	INTERIOR REMODEL,CONVERT EXISTING SINGLE FAMILY TO TWO UNITS PER APPROVED CONDITIONAL USE APPLICATIO	Residential	RH-1	28	0							2009.0396	201207316121	18-May-09	31-Jul-12	40-X	RH-1	18-May-09	Resident	-1	1	0							"77 Farallones Street
(37.713971000000001, -122.454972)"
7554007	Central	CONSTRUCTION	28-Nov-11	1	Front setback variance to construct a new single-family dwelling on a vacant lot.	TO ERECT 3 STORY OVER BASEMENT SINGLE FAMILY DWELLING	Residential	RH-1	97	0							2009.038	200905269073	14-May-09	26-May-09	40-X	RH-1	14-May-09	Resident	-1	1	0							"260 Arbor St
(37.737642000000001, -122.437834)"
0453011	Northeast	BP Filed	23-Mar-11	2		WORK ON (FRONT BLDG)REDUCE SIZE OF REAR PORTION OF (E) RESTAURANT AND RESTORE BACK TO DWELLING UNIT 	Mixed Use	NC-1	836	0								201103232716		23-Mar-11	40-X	NC-1	23-Mar-11	Resident	0	1	0							"977 North Point St
(37.805065900000002, -122.42313900000001)"
1422016	Richmond	BP ISSUED	18-Jul-11	1		(REAR BLDG) TO ERECT 3 STORIES, SINGLE FAMILY RESIDENT.	Residential	RM-1	307	0								201009241614		24-Sep-10	40-X	RM-1	24-Sep-10	Resident	-1	1	0							"287 11th Av
(37.783042999999999, -122.47012700000001)"
7520033	Central	BP Filed	26-Jul-11	3	Demolition of existing single-family residnece and detached garage. Proposed lot merge and construction of 3 residnetial units.	Multiple Permits	Residential	RH-1	462	0							2008.1218	201107261089	06-Jan-11	26-Jul-11	40-X	RH-1	06-Jan-11	Resident	-1	3	0							"70 Gold Mine Dr
(37.743960999999999, -122.437377)"
7551033	Central	BP Filed	15-Jun-07	1	SUBDIVISION OF ONE LOT INTO TOW LOTS, VERTICAL ADDITION ON EXISTING 1,025 SF SINGLE-FAMILY RESIDENCE TO TOTAL 2,020 SF, AND NEW CONSTRUCTION OF SINGLE-FAMILY RESIDENCE ON NEW SUBDIVIDED LOT.	ADDITION TO (E) BUILDING PER PLAN.	Residential	RH-1	456	0							2007.1162	200706154066	10-Oct-07	15-Jun-07	40-X	RH-1	15-Jun-07	Resident	0	1	0							"2395 Diamond St
(37.738422, -122.436138)"
8709004	Mission Bay	BP ISSUED	03-Jun-08	0	Section 321 allocation for 228,000 gsf of office development in new 10-story (approximately 160') 245,500 gsf laboratory/office building with ground-floor retail, no on-site parking (off-street parking to be provided on adjacent parcel - Parcel 6).  Missi	ERECT 10-STORY, TYPE-1, OFFICE, LAB, RETAIL NEW BUILDING.	Mixed Use	MB-RA	653	245000	245000						2006.1216	200711097802	29-Sep-06	09-Nov-07	MB-RA	MB-RA	29-Sep-06	MIPS	-1	0	245000			245000				"1600 Owens St
(37.769168999999998, -122.394204)"
8711014	South of Market, Other	CONSTRUCTION	31-Jul-12	150		ERECT 6 STORIES OF 150 DWELLING UNIT.	Mixed Use	MB-RA	655	0	0	0	0	0	0	0		201012036075		03-Dec-10	MB-RA	MB-RA	03-Dec-10	Resident	-1	150	0	0	0	0	0	0	0	"1000 Fourth Street (block 13 East)
(37.77337, -122.38732899999999)"
8720016	Mission Bay	BP ISSUED	23-Apr-10	0	Section 321 allocation for a total of up to 373,487 gsf of office development for three new buildings with approximately 380,999 gsf, 7,512 sf of ground floor retail space and 689 off-street parking spaces (to be located off-site on adjacent Block 27). Bu	NEW 10 STORY BLDG FOR OFFICE, LAB AND RETAIL CORE AND SHELL	Commercial	C-3-G	650	380999	373499				7500		2006.1509	200806104062	05-Oct-06	10-Jun-08	150-S/320-S	C-3-G	05-Oct-06	MIPS	-1	0	380999			373499		7500		"1455 03rd St
(37.771034999999998, -122.38937799999999)"
8721012	Mission Bay	BP Filed	26-Jun-08	0	Section 321 allocation for 202,893 gsf of office development in a new 6-story, 216,491 gsf building with 12,169 sf of ground floor retail and 369 off-street parking spacesto be located in a future garage on adjacent parcels (MB Block 27, Parcels 2 and 3).	ERECT A 6 STORIES OFFICE/LAB/RETAIL BUILDING.	Mixed Use	MB-RA	649	333945	317248				16697		2006.1536	200806265407	05-Oct-06	26-Jun-08	MB-RA	MB-RA	05-Oct-06	MIPS	-1	0	333945			317248		16697		"455 Mission Bay S Blvd
(37.768979999999999, -122.386939)"
8722001	Mission Bay	PL Filed	20-Dec-11		To construct a new campus for the Salesforce.com headquarters.		Mixed Use	MB-RA	929	1314998	1259680	6000			49318		2011.1423		20-Dec-11		MB-RA	MB-RA	20-Dec-11	MIPS	0	0	1314998	6000		1259680		49318		"300 16th St
(37.766969000000003, -122.389264)"
9900015	Northeast	PL Filed	11-Aug-09	0	The project is the Exploratorium Relocation to Piers 15/17.  The Exploratorium, a not-for-profit organization that provides science, are, and human perception exhibits, proposes to relocate its operations from the Palace of Fine Arts, at 3601 Lyon Street 		Industrial	M-1	828	285381		285381					2006.1073		27-May-09		40-X	M-1	27-May-09	CIE	0	0	36248	36248						"Pier 15
(37.801184999999997, -122.397874)"
9900041H	Northeast	PL Filed	27-Aug-08	0	Improvements to Pier 33 Bulkhead and Pier 31 1/2 deck, replacement of floating vessel berth, reconfigure existing vehicular circulation, add Bayside walk and interpretive exhibits, for visitor areas and Hornblower Cruises passenger service operations to A		Commercial	C-2	854	82325				74250	8075		2008.1032		27-Aug-08		40-X	C-2	27-Aug-08	PDR	0	0	12990				12490	500		"Pier 31
(37.80641, -122.403824)"
3540023	Buena Vista	CONSTRUCTION	03-Aug-11	3		NEW DWELLING UNIT IN (E) GROUND FLOOR STORAGE AREA. INSTALL INTERMEDIATE PICKETS AT REAR STAIR GUARD	Residential	RH-3	564	0								200905128229		12-May-09	40-X	RH-3	12-May-09	Resident	-1	1	0							"2260 15th St
(37.765912, -122.434562)"
3590056	Mission	BP Filed	06-Apr-09	3	"New dwelling located within the existing building evelope.  Ground Floor.
New dwelling requires an exposure variance.   Possible usable open space variance request.  Two buildings are located on the subject lot."	LEGALIZE EXISTING SPACE ON GRD FL TO ADD ADDITIONAL DWELING UNIT TO BLDG. THE BLDG WILL NOW BECOME A	Residential	RTO	191	0							2010.0078	200904065668	04-Feb-10	06-Apr-09	40-X	RTO-Mission	06-Apr-09	Resident	-1	1	0							"355 Capp St
(37.761037000000002, -122.418013)"
0529002	Marina	BP Filed	14-Aug-09	2		Add new dwelling unit/ new kitchen unit in (E) basement floor. All remodeling in basement floor appr	Residential	RH-3	363	0								200908144854		14-Aug-09	40-X	RH-3	14-Aug-09	Resident	0	1	0							"2727 Gough St
(37.798521999999998, -122.427678)"
6310001	South Central, Other	PL Filed	28-Apr-10	1700	The project project is the Sunnydale HOPE SF Master Plan. The proposed project would demolish the existing Sunnydale public housing complexes and construct replacement housing, new market rate housing, infrastructure, open space, and community ammentities		Residential	RM-1	12	88700					88700		2010.0305		28-Apr-10		40-X	RM-1	28-Apr-10	Mixres	0	915	59424					59424		"1654 Sunnydale Ave
(37.712432, -122.41759399999999)"
1075001	Western Addition	PL FILED	31-Dec-08	314			Residential	RM-1	310	0	0	0	0	0	0	0			31-Dec-08		40-X	RM-1	31-Dec-08	Resident	0	450	0	0	0	0	0	0	0	"2501 Sutter St
(37.784896000000003, -122.441694)"
0073020	Northeast	BP Filed	18-Feb-09	3		Convert 2-unit bldg. to 3-unit bldg. w/o enlarging bldg. Add 1-car parking space @ front driveway ar	Residential	RM-1	831	0								200902182284		18-Feb-09	40-X	RM-1	18-Feb-09	Resident	0	1	0							"835 Lombard St
(37.802404000000003, -122.41526399999999)"
2717014	Central	BP REINSTATED	20-Jan-11	1		TO ERECT 3 STORIES, SINGLE FAMILY DWELLING UNIT.	Residential	RH-2	177	0								201011305806		30-Nov-10	40-X	RH-2	30-Nov-10	Resident	-1	1	0							"3412 Market St
(37.757075999999998, -122.442999)"
1086006	Richmond	CONSTRUCTION	12-Oct-12	3	Vertical rear addition to add 3rd floor flat, extend the building deeper into rearyard and covert basement into 3 car garage.	REAR AND 4TH FLOOR ADDITON.  3RD UNIT AT 4TH FL WITH DECKS.  GR FL ADDITION OF 3 CAR GARAGE, WORK RO	Residential	RM-1	289	0							2009.0909	200901220624	11-Jun-10	22-Jan-09	40-X	RM-1	22-Jan-09	Resident	-1	1	0							"253 Parker Av
(37.780830000000002, -122.454155)"
1154023	Western Addition	CONSTRUCTION	12-Oct-10	2	To legalize an existing cottage in the rear yard as a second dwelling unit, requiring rear yard and non-complying structure variances.	To comply with nov 200733175, shoring, excavation , concrete foundation + slab structural steel, tie	Residential	RH-3	278	0							2009.0104	200712200979	06-Feb-09	20-Dec-07	40-X	RH-3	20-Dec-07	Resident	-1	1	0							"7 Seymour St
(37.778962999999997, -122.437872)"
1265009	Inner Sunset	CONSTRUCTION	30-Jun-11	3	Parking Variance to add a 3rd unit	legalize existing residential unit @ ground floor. See variance Application #2008.1377 under review.	Residential	RH-3	227	0							2008.1377	200901150303	16-Dec-08	15-Jan-09	40-X	RH-3	16-Dec-08	Resident	-1	1	0							"338 Carl St
(37.765247000000002, -122.455184)"
1411022	Richmond	CONSTRUCTION	21-Dec-11	2	Alteration and remodel of existing residnetial structure.	ADD 3 FT REAR ADDTIONAL SPACE FOR MASTER BEDROOM ON 3RD FLOOR. ADD 29 SQ. FT. TO KITCHEN SPACE ON 2N	Residential	RH-2	676	0							2009.0051	200903174286	21-Jan-09	17-Mar-09	40-X	RH-2	21-Jan-09	Resident	-1	1	0							"212 23rd Av
(37.783605999999999, -122.48267)"
1417031	Richmond	CONSTRUCTION	04-Oct-12	3	2-story vertical addition to existing 2-story residential/retail building.	TO ERECT 4 STORIES, 3 UNITS RESIDENTIAL DWELLING.	Mixed Use	NC-1	306	2733					2733		2009.0175	201106158161	05-Mar-09	15-Jun-11	40-X	NC-1	05-Mar-09	Mixres	-1	1	-264					-264		"5495 California St
(37.784163999999997, -122.476281)"
2046040A	Inner Sunset	BP Filed	12-Feb-09	2		REMODELING (E) FIRST AND SECOND FLOOR AND EXTENDING THESE 2 FLOORS OUT TOWARDS REAR YARD. 1ST FL. TO	Residential	RH-2	514	0								200902122009		12-Feb-09	40-X	RH-2	12-Feb-09	Resident	0	1	0							"227 Noriega St
(37.754562999999997, -122.465996)"
3581012	Central	CONSTRUCTION	02-Nov-12	2		CHANGE SINGLE FAMILY DWELLING TO TWO FAMILY DWELLING, ADD THIRD STORY, EXTEND TO REAR, RECONFIGURATI	Residential	RH-3	201	0								200901230745		23-Jan-09	40-X	RH-3	23-Jan-09	Resident	-1	1	0							"466 Sanchez St
(37.761634999999998, -122.430789)"
3589026	Mission	BP ISSUED	23-Nov-09	3		CONVERT 2 UNITS BLDG TO 3 UNITS BLDG, REMOVE STAIRCASE JOINING UPSTAIRS AND DOWNSTAIRS, PUT IN KITCH	Residential	RTO	191	0								200902041380		04-Feb-09	45-X	RTO-Mission	04-Feb-09	Resident	-1	1	0							"161 San Carlos St
(37.760852999999997, -122.419831)"
3625040	Central	BP Filed	06-Feb-09	2		Add a residential unit at the rear of an existing single family residence.	Residential	RH-2	147	0								200902061524		06-Feb-09	40-X	RH-2	06-Feb-09	Resident	0	1	0							"421 Alvarado St
(37.753763999999997, -122.430452)"
5576001	BVHP Area A,B	BP Filed	11-Mar-09	0		ERECT A 1 STORY BIOFUEL PRODUCTION & SALES BUILDING.	Industrial	PDR-2	465	6000				5000	1000			200903113911		11-Mar-09	40-X	PDR-2	11-Mar-09	PDR	0	0	6000				5000	1000		"280 Bay Shore Bl
(37.743577000000002, -122.404931)"
6014032	South Central, Other	PL Approved	07-Oct-10	2	Proposes 2 new units with no parking. 	1) CONSTRUCT ONE NEW 2 BEDROOM UNIT AND REAR DECK TO (E) 2ND STORY. REMODEL (E) 2 BEDROOM UNIT ON 2ND STORY. 2)CONSTRUCT 3RD STORY WITH 1 4 BEDROOM UNIT.	Mixed Use	NC-3	58	0							2009.0875		17-Sep-09		40-X	NC-3	17-Sep-09	Resident	-1	2	0							"4563 Mission St
(37.725242999999999, -122.43423)"
6473040	South Central, Other	CONSTRUCTION	17-Sep-12	20	Residential Care facility	ADD TO (E) 2 STORY BUILDING CONVERTING IT TO A 3 STORY SENIOR CARE HOME, 1ST FLOOR HAS: MULTIPURPOSE	Mixed Use	NC-2	873	5240		5240					2009.0057	200909026074	22-Jan-09	02-Sep-09	40-X	NC-2	22-Jan-09	Mixres	-1	20	5240	5240						"5735 Mission St
(37.709938999999999, -122.448989)"
0244001	Northeast	PL Filed	11-Feb-09	160	Fairmont Hotel tower/base demo and rebuild to similar bldg envelope, with additional mid-rise, resulting in 160,000-gsf net new, +160 condominiums, -200 hotel rooms, total 965,000-gsf.		Residential	RM-4	772	310000					55000	255000	2008.0081		11-Feb-09		200-E/320-E	RM-4	11-Feb-09	Mixres	0	160	-295000					5000	-300000	"950 Mason Street
(37.792324999999998, -122.410723)"
0300012	Downtown	CONSTRUCTION	31-Jul-12	3	Lot split and construction of a 3-unit resindetial building abover retail on the vacant portion of the project site.	TO ERECT 3 UNITS RESIDENCIAL NEW BLDG WITH 5 STORY(GROUND FLOOR COMMERCIAL AND BASEMENT LEVEL PARKIN	Mixed Use	RC-4	319	1492					1492		2008.1401	200903184367	07-Jan-09	18-Mar-09	130-E	RC-4	07-Jan-09	Mixres	-1	3	1492					1492		"995 Sutter St
(37.788074999999999, -122.416555)"
0836002	Market Octavia	PL Filed	27-Feb-09	180	Construction of two buildings: one residential tower building, 400' in height, with 180-du and 50 parking spaces, and one 24-ft wide building, 65' in height, connected by pedestrian bridge at the third floor.  Demo of existing four-story commercial buildi		Commercial	C-3-G	588	34091	15281				18810		2009.0159		27-Feb-09		400-R2	C-3-G	27-Feb-09	Mixres	0	180	-13252			-22827		9575		"1540 Market St
(37.774937000000001, -122.41980599999999)"
2086007A	Outer Sunset	BP Filed	10-Apr-09	2	NEW TWO-UNIT RESIDENTIAL STRUCTURE. VARIANCE FOR FRONT SETBACK.	ERECT A 4-STORIES, 2 FAMILY DWELLING UNITS BUILDING.	Residential	RH-2	550	0							2009.0102	200904106077	05-Feb-09	10-Apr-09	40-X	RH-2	05-Feb-09	Resident	0	2	0							"1966 Great Hy
(37.749786999999998, -122.507876)"
7148040	Ingleside, Other	BP Filed	28-Nov-12	28	Vacant former ROW parcel (.98 ac) for 28 SFH with drive aisle yard, 41,320-gsf, 44 parking.	Multiple Permits on formerly vacant right of way next to 280	Residential	RH-1	10	0							2009.0112	201211284953	28-Jan-10	28-Nov-12	40-X	RH-1	28-Jan-10	Resident	-1	28	0							"One Capitol Av
(37.710872999999999, -122.459069)"
0867033	Market Octavia	BP Filed	03-Aug-09	2		To comply w/ NOV 2008.85761 of 1.7.09. to legalize (e) 2nd unit on thre ground/garage fl. Replace ou	Residential	RTO	239	0								200908034026		03-Aug-09	40-X	RTO	03-Aug-09	Resident	0	1	0							"445 Waller St
(37.770820000000001, -122.430988)"
1279048	Buena Vista	BP Filed	18-Aug-09	5		COMPLY WITH N.O.V# 200902623 - THIS IS FOR CHANGE OF USE. TO COMPLY WITH CONDITIONS, STIPULATION & S	Residential	RH-2	553	0								200908185077		18-Aug-09	40-X	RH-2	18-Aug-09	Resident	0	4	0							"598 Belvedere St
(37.761958, -122.447681)"
3733020A	WSoMa	BP ISSUED	14-Jun-10	1		Add one single story vertical addition of 1,650 sqft above the roof of the existinG 2- story office 	Mixed Use	RSD	672	0								200909146733		14-Sep-09	40-X/85-B	RSD	14-Sep-09	Resident	-1	1	0							"854 Folsom St
(37.781281, -122.402698)"
0539032	Marina	PL Approved	08-Oct-09	2	Convert Residential Unit to Business and Professional use		Neighborhood Commercial	UNION	359	1480	1480						2009.0747		11-Aug-09		40-X	UNION	11-Aug-09	Mixres	-1	-1	1480			1480				"2231 Union St
(37.796726, -122.436087)"
3638018	Mission	BP ISSUED	19-Oct-12	3	Vertical addition adding one new dwelling unit, roof deck, and interior changes.	ADD ONE STORY ADDITION TO (E) 3-STORY BUILDING. ADD ONE ADDITIONAL UNIT.  3 STORY HORIZONTAL ADDITION AT REAR.  2 STORY HORIZONTAL ADDITION IN THE FRONT AT 2ND AND 3RD FLOOR  FOR NEW  BAY WINDOWS. NEW ROOF DECK.	Residential	RH-3	170	0							2009.081	200908265600	24-Sep-09	28-Apr-09	40-X	RH-3	28-Apr-09	Resident	-1	1	0							"3120 23rd St
(37.754244, -122.414768)"
3753008	East SoMa	PL Approved	20-Dec-10	47	Rear yard and open space variance to convert 47 tourist hotel rooms to 47 SRO units.  Project is related to 235 O'Farrell St. site, which is proposing conversion of 23 residential hotel rooms to tourist use.  Per Chapter 41 of Admin Code, replacement room		Mixed Use	MUR	631	0							2009.0765		15-Sep-10		85-X	MUR	15-Sep-10	Resident	-1	47	0							"374 5th St
(37.779339, -122.40224000000001)"
5339007	BVHP Area A,B	CONSTRUCTION	11-Dec-12	0	"Demo and construction of a new Bayview Branch Library
R-Case: The project proposes to remove existing Bayview Anna E Waden Branch Library and the neighborhing storefront.  The new library will be an approximately 9,000 square feet one-story building with "	New construction of a  one story public library.	Public	P	406	9000		9000					2009.0304	200909116627	08-Oct-09	11-Sep-09	40-X	P	11-Sep-09	CIE	-1		9000	9000						"5075 3rd St
(37.732550000000003, -122.391583)"
5618011	Bernal Heights	BP APPROVED	03-Mar-11	1	New single-family residence on a vacant downsloping lot.	construction of a new single family dwelling, 4-stories.	Residential	RH-1	116	0							2009.0725	200909237457	22-Oct-09	23-Sep-09	40-X	RH-1	23-Sep-09	Resident	-1	1	0							"128 Elsie St
(37.7425608, -122.4179127)"
5858024	South Central, Other	BP Filed	03-Aug-09	1	CU for creation of sub std lot and open space Variance.	New construction  of a three-story, single family house,	Residential	RH-1	92	0							2009.1082	200908033985	21-Jan-10	03-Aug-09	40-X	RH-1	03-Aug-09	Resident	0	1	0							"194 Sweeny St
(37.732726900000003, -122.409353)"
6048002	South Central, Other	BP Filed	06-Apr-10	3	Addition of a third dwelling unit to an existing two-family dwelling with commercial on the ground floor.	To comply with complaint# 200671317 dated 07/12/2006. Third story vertical addition for new unit (3r	Mixed Use	NC-2	57	2738					2738		2009.0754	201004069730	13-Aug-09	06-Apr-10	40-X	NC-2	13-Aug-09	Mixres	0	1	0					0		"2724 San Bruno Av
(37.727182900000003, -122.403751)"
6501010	Central	BP Filed	16-Jun-09	2	Rear yard variance for the construction of a  new single-family building at rear of site. 	NEW HOUSE @ LOCATION OF EXISTING HOUSE, HOUSE IS 2001 SQ FT. AT REAR, NO WORK TO FRONT UNIT, REBUILD	Residential	RH-2	477	0							2009.0446	200906160568	28-May-09	16-Jun-09	40-X	RH-2	28-May-09	Resident	0	1	0							"60 Fountain St
(37.749907999999998, -122.441906)"
1464014	Richmond	BP ISSUED	29-Dec-10	2		VERTICAL & HORIZONTAL ADDITION WITH ADD A 3RD FLOOR WITH FRONT SETBACK & SIDE SETBACKS. ADD UNIT 2 W	Residential	RH-2	675	0								200911231869		23-Nov-09	40-X	RH-2	23-Nov-09	Resident	-1	1	0							"446 33rd Av
(37.780737999999999, -122.493054)"
1467020	Richmond	BP Filed	30-Nov-09	3		LEGALIZE OCCUPANCY OF ILLEGAL UNIT ON GROUND FLOOR FOR OWNER WITH AMBULATORY DIFFICULTIES. REMODEL U	Residential	RH-2	295	0								200911302251		30-Nov-09	40-X	RH-2	30-Nov-09	Resident	0	1	0							"483 35th Av
(37.779997999999999, -122.495744)"
1510025	Richmond	CONSTRUCTION	08-Nov-12	2		HORZONTAL ADDITION AT REAR, 1 STORY VERTICAL ADDITION. CONVERT SINGLE FAMILY TO 2 UNITS. BOTH UNITS 	Residential	RH-2	279	0								200910280037		28-Oct-09	40-X	RH-2	28-Oct-09	Resident	-1	1	0							"590 35th Av
(37.777906000000002, -122.495041)"
1805037A	Outer Sunset	BP REINSTATED	28-Dec-10	2		REMODEL AND CONVERT EXISTING DWELLING FROM 1 UNIT-2 STORIES TO 2 UNITS-3 STORIES. PROVIDE NEW 2 CAR 	Residential	RM-1	192	0								201012076277		07-Dec-10	40-X	RM-1	07-Dec-10	Resident	-1	1	0							"1434 La Playa *
(37.759658000000002, -122.50876700000001)"
